MSSubClass,MSZoning,LotArea,LotConfig,BldgType,OverallCond,YearBuilt,YearRemodAdd,Exterior1st,BsmtFinSF2,TotalBsmtSF,Predicted_Sale_Price
50,3,8382,4,0,5,1956,1956,7,52.61934156378601,1046.1179698216736,136820.0
20,3,10950,4,0,7,1952,1952,12,52.61934156378601,1046.1179698216736,140600.0
20,3,10895,0,0,6,1955,1955,7,52.61934156378601,1046.1179698216736,130380.0
190,3,13587,4,1,5,1958,1958,7,52.61934156378601,1046.1179698216736,136800.0
30,3,7898,0,0,7,1920,1994,7,52.61934156378601,1046.1179698216736,133180.0
50,3,8064,4,0,8,1948,2004,12,52.61934156378601,1046.1179698216736,151607.4
20,3,7635,0,0,6,1960,1960,3,52.61934156378601,1046.1179698216736,134640.0
20,3,9760,4,0,7,1963,1984,11,52.61934156378601,1046.1179698216736,151180.0
50,4,4800,0,0,5,1900,1954,11,52.61934156378601,1046.1179698216736,141580.0
30,4,4485,4,0,7,1920,1950,11,52.61934156378601,1046.1179698216736,113780.0
20,4,5805,4,0,7,1957,1957,7,52.61934156378601,1046.1179698216736,133440.0
45,4,6900,0,0,7,1938,2000,7,52.61934156378601,1046.1179698216736,150020.0
50,4,11851,4,0,7,1948,2009,10,52.61934156378601,1046.1179698216736,184220.0
50,4,8239,4,0,6,1920,1962,7,52.61934156378601,1046.1179698216736,150750.0
30,4,9656,4,0,2,1923,1970,0,52.61934156378601,1046.1179698216736,146880.0
70,4,9600,0,0,9,1900,2003,11,52.61934156378601,1046.1179698216736,168800.0
70,4,9000,4,0,9,1890,2002,11,52.61934156378601,1046.1179698216736,179960.0
190,4,9045,4,1,3,1910,1950,7,52.61934156378601,1046.1179698216736,112500.0
70,4,10560,4,0,7,1922,1994,11,52.61934156378601,1046.1179698216736,184200.0
50,4,5830,0,0,6,1950,1997,7,52.61934156378601,1046.1179698216736,158800.0
75,3,7793,0,0,7,1922,2005,11,52.61934156378601,1046.1179698216736,163840.0
30,4,5000,4,0,7,1925,1950,7,52.61934156378601,1046.1179698216736,121100.0
50,4,6000,4,0,7,1939,1950,7,52.61934156378601,1046.1179698216736,155080.0
50,4,6000,4,0,6,1940,1950,7,52.61934156378601,1046.1179698216736,155080.0
50,4,6360,0,0,6,1942,1950,7,52.61934156378601,1046.1179698216736,153880.0
50,4,6000,4,0,7,1948,1950,11,52.61934156378601,1046.1179698216736,153180.0
50,4,6240,4,0,7,1936,1980,10,52.61934156378601,1046.1179698216736,158800.0
50,4,6240,4,0,5,1930,1950,7,52.61934156378601,1046.1179698216736,156160.0
30,4,6120,4,0,5,1923,1950,11,52.61934156378601,1046.1179698216736,122300.0
50,4,8094,4,0,5,1915,1950,7,52.61934156378601,1046.1179698216736,140060.0
70,4,12900,4,0,8,1912,2009,11,52.61934156378601,1046.1179698216736,197140.0
70,4,3068,4,0,8,1920,1993,10,52.61934156378601,1046.1179698216736,148400.0
20,3,15263,4,0,5,1959,1959,6,52.61934156378601,1046.1179698216736,140000.0
50,3,10632,4,0,3,1917,1950,11,52.61934156378601,1046.1179698216736,107400.0
190,3,9900,4,1,4,1915,1950,11,52.61934156378601,1046.1179698216736,132000.0
50,3,6001,4,0,5,1940,1950,10,52.61934156378601,1046.1179698216736,137907.4
70,0,6449,4,0,1,1907,1950,11,52.61934156378601,1046.1179698216736,116240.0
190,2,6048,0,1,7,1910,1950,11,52.61934156378601,1046.1179698216736,133952.0
90,3,10773,4,2,3,1967,1967,8,52.61934156378601,1046.1179698216736,139100.0
20,3,7800,4,0,7,1966,2008,6,52.61934156378601,1046.1179698216736,144200.0
20,3,7832,4,0,5,1968,1968,6,52.61934156378601,1046.1179698216736,138350.0
90,3,7424,4,2,5,1978,1978,8,52.61934156378601,1046.1179698216736,154300.0
60,3,11227,4,0,5,1968,1968,6,52.61934156378601,1046.1179698216736,174340.0
20,3,20062,4,0,7,1977,2001,11,52.61934156378601,1046.1179698216736,170280.0
30,3,9259,0,0,4,1927,1950,11,52.61934156378601,1046.1179698216736,125900.0
60,3,17082,1,0,5,1978,1992,10,52.61934156378601,1046.1179698216736,165160.0
50,3,18600,4,0,4,1938,1990,11,52.61934156378601,1046.1179698216736,115860.0
20,3,11479,4,0,7,1950,1987,11,52.61934156378601,1046.1179698216736,170700.0
50,3,9350,4,0,6,1947,1979,12,52.61934156378601,1046.1179698216736,154500.0
20,3,9525,4,0,7,1954,1998,12,52.61934156378601,1046.1179698216736,131570.0
20,3,17485,4,0,5,2009,2010,10,52.61934156378601,1046.1179698216736,178580.4
20,3,11200,1,0,3,1964,1964,11,52.61934156378601,1046.1179698216736,134150.0
20,3,11980,4,0,5,1987,1987,8,52.61934156378601,1046.1179698216736,163600.0
60,3,12361,1,0,7,1993,1993,10,52.61934156378601,1046.1179698216736,239200.0
20,3,7360,4,0,5,2010,2010,10,52.61934156378601,1046.1179698216736,182120.0
50,3,14235,4,0,8,1900,1993,11,52.61934156378601,1046.1179698216736,164980.0
85,3,11105,0,0,5,1996,1996,10,52.61934156378601,1046.1179698216736,212058.0
60,3,9337,4,0,5,1997,1998,10,52.61934156378601,1046.1179698216736,222686.4
20,3,15240,2,0,8,1977,2004,5,52.61934156378601,1046.1179698216736,153560.0
20,3,7480,4,0,6,1972,1972,11,52.61934156378601,1046.1179698216736,135890.0
20,3,10389,4,0,5,2003,2003,5,52.61934156378601,1046.1179698216736,165980.0
60,3,9375,4,0,5,1997,1997,10,52.61934156378601,1046.1179698216736,232400.0
120,4,4435,4,4,5,2003,2003,10,52.61934156378601,1046.1179698216736,147840.0
30,3,8777,4,0,6,1945,2007,10,52.61934156378601,1046.1179698216736,132900.0
20,3,8842,0,0,6,1954,1954,10,52.61934156378601,1046.1179698216736,134180.0
20,3,10044,1,0,6,1968,1968,7,52.61934156378601,1046.1179698216736,152700.0
50,3,11792,4,0,5,1948,1950,10,52.61934156378601,1046.1179698216736,122280.0
80,3,6305,4,0,6,1975,1975,8,52.61934156378601,1046.1179698216736,134970.0
20,3,6410,4,0,5,1958,1958,12,52.61934156378601,1046.1179698216736,123000.0
30,3,4853,4,0,6,1924,1999,7,52.61934156378601,1046.1179698216736,130530.0
30,3,7890,0,0,6,1939,1950,11,52.61934156378601,1046.1179698216736,126040.0
90,2,7200,4,2,6,1967,1967,8,52.61934156378601,1046.1179698216736,138700.0
50,3,9839,4,0,2,1931,1950,10,52.61934156378601,1046.1179698216736,107400.0
50,3,10452,4,0,6,1941,1985,11,52.61934156378601,1046.1179698216736,134200.0
90,3,15600,4,2,6,1950,1991,10,52.61934156378601,1046.1179698216736,161110.0
80,3,19645,2,0,6,1994,2007,10,52.61934156378601,1046.1179698216736,281646.0
120,4,3907,4,4,6,1989,1989,6,52.61934156378601,1046.1179698216736,176700.0
120,4,3907,4,4,5,1989,1989,6,52.61934156378601,1046.1179698216736,161300.0
30,4,8154,4,0,5,1941,1950,11,52.61934156378601,1046.1179698216736,124800.0
50,4,9140,4,0,5,1921,1975,11,52.61934156378601,1046.1179698216736,141460.0
30,0,8712,0,0,7,1896,1950,11,52.61934156378601,1046.1179698216736,111380.0
120,4,3811,0,4,5,2004,2005,5,52.61934156378601,1046.1179698216736,146576.0
60,3,11050,4,0,5,1998,1999,10,52.61934156378601,1046.1179698216736,230780.0
80,3,9620,4,0,7,1977,1977,8,52.61934156378601,1046.1179698216736,171500.0
90,3,12760,4,2,5,1976,1976,8,52.61934156378601,1046.1179698216736,159820.0
20,3,11896,0,0,5,2008,2008,10,52.61934156378601,1046.1179698216736,143960.0
20,3,9803,4,0,5,2009,2010,10,52.61934156378601,1046.1179698216736,151486.4
60,3,9802,4,0,5,2006,2007,10,52.61934156378601,1046.1179698216736,302050.0
20,3,15300,4,0,5,1965,1977,8,52.61934156378601,1046.1179698216736,141280.0
20,3,10114,4,0,5,2004,2005,10,52.61934156378601,1046.1179698216736,159666.4
20,3,11875,4,0,5,1999,1999,10,52.61934156378601,1046.1179698216736,149200.0
120,4,2394,4,3,6,1973,1973,5,52.61934156378601,1046.1179698216736,143980.0
160,4,1476,4,3,7,1970,1970,5,52.61934156378601,1046.1179698216736,125500.0
160,4,1900,4,4,4,1970,1970,5,52.61934156378601,1046.1179698216736,126600.0
160,4,1890,4,4,6,1972,1972,5,52.61934156378601,1046.1179698216736,126600.0
20,3,6953,4,0,7,1971,2004,10,52.61934156378601,1046.1179698216736,144400.0
20,3,12887,4,0,7,1984,1984,10,52.61934156378601,1046.1179698216736,158160.0
90,3,7700,4,2,2,1985,1986,6,52.61934156378601,1046.1179698216736,177767.4
60,3,10475,4,0,5,1991,1991,6,52.61934156378601,1046.1179698216736,212800.0
50,3,10544,4,0,5,1969,1969,6,52.61934156378601,1046.1179698216736,142250.0
20,3,9892,4,0,5,1994,1995,10,52.61934156378601,1046.1179698216736,156580.0
60,3,12961,4,0,5,1993,1994,10,52.61934156378601,1046.1179698216736,238300.0
20,3,13008,4,0,5,1956,1956,7,52.61934156378601,1046.1179698216736,152280.0
20,3,10200,4,0,5,1974,1974,8,52.61934156378601,1046.1179698216736,158630.0
60,3,10179,0,0,5,1997,1997,10,52.61934156378601,1046.1179698216736,230658.0
60,3,11792,4,0,5,2003,2003,10,52.61934156378601,1046.1179698216736,250000.0
80,3,8400,4,0,5,1996,1997,6,52.61934156378601,1046.1179698216736,183400.0
120,3,7296,1,4,5,2004,2005,5,52.61934156378601,1046.1179698216736,169700.0
120,3,7380,0,0,5,1998,1998,5,52.61934156378601,1046.1179698216736,176050.0
120,3,8013,0,4,5,1995,1996,5,52.61934156378601,1046.1179698216736,172150.0
80,3,8923,4,0,5,1998,1998,10,52.61934156378601,1046.1179698216736,190800.0
60,3,7500,4,0,5,1998,1999,10,52.61934156378601,1046.1179698216736,186600.0
60,3,8803,4,0,5,1994,1995,6,52.61934156378601,1046.1179698216736,205000.0
20,3,7250,4,0,5,1993,1993,6,52.61934156378601,1046.1179698216736,160400.0
60,3,11900,4,0,6,1977,1977,6,52.61934156378601,1046.1179698216736,170740.0
60,3,13250,4,0,6,1978,1978,6,52.61934156378601,1046.1179698216736,174470.0
20,3,10928,4,0,6,1978,1986,10,52.61934156378601,1046.1179698216736,152800.0
60,3,12388,4,0,7,1980,1991,8,52.61934156378601,1046.1179698216736,172960.0
20,3,11088,4,0,5,1978,1998,6,52.61934156378601,1046.1179698216736,146900.0
60,1,7000,4,0,5,2003,2003,5,52.61934156378601,1046.1179698216736,214180.0
60,1,7500,4,0,5,2000,2001,10,52.61934156378601,1046.1179698216736,209600.0
60,1,8470,0,0,5,2002,2002,10,52.61934156378601,1046.1179698216736,209450.0
20,3,9373,1,0,7,1975,1975,6,52.61934156378601,1046.1179698216736,148400.0
20,3,10140,4,0,6,1974,1974,8,52.61934156378601,1046.1179698216736,173900.0
20,3,11050,0,0,5,1975,1975,8,52.61934156378601,1046.1179698216736,145600.0
20,3,7830,4,0,5,1970,1970,6,52.61934156378601,1046.1179698216736,138350.0
20,3,8510,4,0,7,1971,1971,8,52.61934156378601,1046.1179698216736,145290.0
20,3,7038,4,0,6,1970,1970,10,52.61934156378601,1046.1179698216736,136490.0
20,3,9000,2,0,7,1971,2006,10,52.61934156378601,1046.1179698216736,147700.0
160,4,1680,4,3,5,1973,1973,6,52.61934156378601,1046.1179698216736,133580.0
160,4,1680,4,3,6,1972,1972,6,52.61934156378601,1046.1179698216736,134200.0
160,3,2308,2,4,5,1976,1976,8,52.61934156378601,1046.1179698216736,141059.4
120,3,2280,2,3,5,1975,1975,8,52.61934156378601,1046.1179698216736,136759.4
160,3,2349,4,3,5,1977,1977,8,52.61934156378601,1046.1179698216736,141159.4
160,3,2364,4,4,5,1978,1978,8,52.61934156378601,1046.1179698216736,145459.4
160,3,2364,4,4,5,1978,1978,8,52.61934156378601,1046.1179698216736,145459.4
120,3,2104,4,4,6,1976,1976,8,52.61934156378601,1046.1179698216736,145267.4
20,3,10710,4,0,7,1966,2004,6,52.61934156378601,1046.1179698216736,143600.0
60,3,14257,4,0,5,2007,2007,10,52.61934156378601,1046.1179698216736,286596.0
60,3,12350,4,0,5,2009,2009,10,52.61934156378601,1046.1179698216736,303446.0
20,3,12350,4,0,5,2008,2008,10,52.61934156378601,1046.1179698216736,156300.0
20,3,13693,4,0,5,2007,2007,10,52.61934156378601,1046.1179698216736,167180.4
20,3,11578,4,0,5,2008,2008,10,52.61934156378601,1046.1179698216736,127986.4
20,3,16870,3,0,5,2004,2005,10,52.61934156378601,1046.1179698216736,190284.4
60,3,23303,1,0,5,2007,2007,10,52.61934156378601,1046.1179698216736,283187.0
20,3,10367,4,0,5,2008,2008,10,52.61934156378601,1046.1179698216736,127986.4
20,3,10872,4,0,5,2006,2006,10,52.61934156378601,1046.1179698216736,127986.4
20,3,13514,0,0,5,2008,2008,10,52.61934156378601,1046.1179698216736,143960.0
20,3,12878,0,0,5,2003,2004,10,52.61934156378601,1046.1179698216736,150700.0
20,3,15274,0,0,5,2003,2003,10,52.61934156378601,1046.1179698216736,154400.0
60,3,13262,4,0,5,2003,2004,10,52.61934156378601,1046.1179698216736,265200.0
20,3,9658,4,0,5,2006,2006,10,52.61934156378601,1046.1179698216736,127986.4
120,3,6904,4,4,5,2005,2005,10,52.61934156378601,1046.1179698216736,172380.0
120,3,5122,4,3,5,2005,2005,10,52.61934156378601,1046.1179698216736,172540.0
120,3,10307,4,4,5,2007,2008,10,52.61934156378601,1046.1179698216736,317850.0
20,3,14836,4,0,5,2004,2005,5,52.61934156378601,1046.1179698216736,199580.4
20,3,15262,0,0,5,2003,2004,10,52.61934156378601,1046.1179698216736,154400.0
120,3,7390,4,4,5,2008,2009,7,52.61934156378601,1046.1179698216736,207187.0
120,3,6472,4,4,5,2008,2008,10,52.61934156378601,1046.1179698216736,200480.0
20,3,16770,0,0,5,2002,2003,10,52.61934156378601,1046.1179698216736,163300.0
120,3,3480,4,4,5,2003,2003,10,52.61934156378601,1046.1179698216736,176120.0
60,3,10928,4,0,5,2005,2005,10,52.61934156378601,1046.1179698216736,268242.6
60,3,8918,4,0,5,2005,2006,10,52.61934156378601,1046.1179698216736,255095.4
120,3,3182,4,4,5,2005,2006,10,52.61934156378601,1046.1179698216736,163948.0
80,3,9434,4,0,5,2004,2005,12,52.61934156378601,1046.1179698216736,269400.0
60,3,7984,4,0,5,2004,2005,10,52.61934156378601,1046.1179698216736,194600.0
60,3,10125,4,0,5,2004,2004,10,52.61934156378601,1046.1179698216736,264300.0
60,3,8965,4,0,5,2003,2003,10,52.61934156378601,1046.1179698216736,246000.0
60,3,8174,4,0,5,2003,2003,10,52.61934156378601,1046.1179698216736,191000.0
60,3,12891,0,0,5,2002,2002,10,52.61934156378601,1046.1179698216736,257000.0
80,3,9734,4,0,5,2004,2004,10,52.61934156378601,1046.1179698216736,248900.0
60,3,8433,4,0,5,2000,2000,10,52.61934156378601,1046.1179698216736,191498.0
80,3,7750,4,0,5,1999,2000,10,52.61934156378601,1046.1179698216736,177200.0
60,3,15896,1,0,5,1999,1999,10,52.61934156378601,1046.1179698216736,232400.0
80,3,7848,4,0,6,1999,1999,10,52.61934156378601,1046.1179698216736,184800.0
60,3,12720,4,0,5,2000,2000,10,52.61934156378601,1046.1179698216736,255800.0
20,3,10750,1,0,5,1994,1995,11,52.61934156378601,1046.1179698216736,148600.0
60,3,9085,4,0,5,1995,1996,10,52.61934156378601,1046.1179698216736,246900.0
60,3,11692,4,0,5,1993,1994,6,52.61934156378601,1046.1179698216736,225600.0
20,3,11194,4,0,5,2008,2008,10,52.61934156378601,1046.1179698216736,127986.4
20,3,10206,4,0,5,2008,2008,10,52.61934156378601,1046.1179698216736,127986.4
20,3,10130,4,0,5,2007,2007,10,52.61934156378601,1046.1179698216736,127986.4
20,3,9139,4,0,5,2006,2006,10,52.61934156378601,1046.1179698216736,158281.8
20,3,11128,0,0,5,2005,2006,10,52.61934156378601,1046.1179698216736,139586.4
20,1,7993,4,0,5,2008,2009,10,52.61934156378601,1046.1179698216736,202580.0
20,1,8640,4,0,5,2008,2008,10,52.61934156378601,1046.1179698216736,206992.0
20,1,12606,4,0,5,2007,2008,10,52.61934156378601,1046.1179698216736,193850.0
20,1,7500,4,0,5,2006,2007,10,52.61934156378601,1046.1179698216736,188210.0
60,1,10603,4,0,5,2006,2006,10,52.61934156378601,1046.1179698216736,264500.0
20,1,8125,0,0,5,2008,2009,10,52.61934156378601,1046.1179698216736,188920.0
20,1,10625,4,0,5,2006,2007,10,52.61934156378601,1046.1179698216736,147586.4
20,1,8736,4,0,5,2003,2004,10,52.61934156378601,1046.1179698216736,204556.0
60,1,8127,4,0,5,2003,2003,10,52.61934156378601,1046.1179698216736,207400.0
20,3,9605,0,0,6,2007,2007,10,52.61934156378601,1046.1179698216736,127986.4
20,3,7500,4,0,5,2006,2006,10,52.61934156378601,1046.1179698216736,157200.0
20,3,7500,4,0,5,2004,2004,10,52.61934156378601,1046.1179698216736,151600.0
60,3,10628,0,0,5,2004,2004,10,52.61934156378601,1046.1179698216736,264200.0
20,3,10141,4,0,5,2004,2004,10,52.61934156378601,1046.1179698216736,156680.0
20,3,13072,4,0,5,2004,2005,10,52.61934156378601,1046.1179698216736,182600.0
20,3,13072,4,0,5,2004,2004,10,52.61934156378601,1046.1179698216736,151300.0
20,3,12450,4,0,5,2003,2004,10,52.61934156378601,1046.1179698216736,150700.0
20,3,7328,4,0,5,2008,2009,10,52.61934156378601,1046.1179698216736,182120.0
60,3,11492,1,0,5,1996,1997,10,52.61934156378601,1046.1179698216736,234058.0
60,3,7703,4,0,6,1992,1992,6,52.61934156378601,1046.1179698216736,196600.0
120,3,7175,4,4,5,1990,1991,8,52.61934156378601,1046.1179698216736,179100.0
60,3,9109,4,0,5,1994,1994,10,52.61934156378601,1046.1179698216736,246900.0
60,3,10274,1,0,7,1986,1986,10,52.61934156378601,1046.1179698216736,195100.0
90,3,8250,4,2,7,1981,1981,11,52.61934156378601,1046.1179698216736,150034.8
20,3,9750,4,0,5,1962,1962,6,52.61934156378601,1046.1179698216736,132200.0
20,3,8499,0,0,6,1961,1961,7,52.61934156378601,1046.1179698216736,137790.0
20,3,9079,4,0,5,1961,1961,11,52.61934156378601,1046.1179698216736,121900.0
20,3,9316,4,0,5,1965,1965,6,52.61934156378601,1046.1179698216736,128200.0
20,3,7791,4,0,8,1963,1995,8,52.61934156378601,1046.1179698216736,142590.0
20,3,7150,4,0,6,1962,1962,10,52.61934156378601,1046.1179698216736,134190.0
20,3,15676,4,0,8,1980,1980,10,52.61934156378601,1046.1179698216736,174680.0
60,3,11949,4,0,8,1991,2008,10,52.61934156378601,1046.1179698216736,295100.0
160,1,2880,4,3,5,2004,2005,7,52.61934156378601,1046.1179698216736,166488.0
120,1,3830,4,4,5,2008,2008,10,52.61934156378601,1046.1179698216736,205960.0
120,1,4217,4,4,5,2008,2008,10,52.61934156378601,1046.1179698216736,205960.0
160,1,2998,4,4,5,2000,2000,7,52.61934156378601,1046.1179698216736,174880.0
160,1,3768,2,4,5,1999,1999,7,52.61934156378601,1046.1179698216736,172010.0
20,3,14694,4,0,9,1977,2008,7,52.61934156378601,1046.1179698216736,189600.0
20,3,15417,4,0,5,1981,1981,3,52.61934156378601,1046.1179698216736,193800.0
80,3,9600,2,0,5,1976,1976,8,52.61934156378601,1046.1179698216736,164800.0
60,3,12732,1,0,6,1974,1974,10,52.61934156378601,1046.1179698216736,171750.0
60,3,10400,4,0,7,1967,1997,7,52.61934156378601,1046.1179698216736,192600.0
20,3,9600,4,0,5,1969,1969,6,52.61934156378601,1046.1179698216736,142250.0
20,3,9000,4,0,5,1969,1969,6,52.61934156378601,1046.1179698216736,129450.0
60,3,13774,4,0,7,1977,1992,6,52.61934156378601,1046.1179698216736,165080.0
20,3,7130,4,0,6,1967,1967,6,52.61934156378601,1046.1179698216736,140190.0
20,3,9600,4,0,5,1967,1967,6,52.61934156378601,1046.1179698216736,132000.0
60,3,9600,4,0,5,1974,1974,8,52.61934156378601,1046.1179698216736,171380.0
85,3,16500,4,0,5,1971,1971,6,52.61934156378601,1046.1179698216736,184000.0
20,3,7436,4,0,7,1960,1960,10,52.61934156378601,1046.1179698216736,132100.0
20,3,8125,4,0,7,1959,1959,7,52.61934156378601,1046.1179698216736,135100.0
20,3,9450,0,0,5,1957,1957,11,52.61934156378601,1046.1179698216736,131400.0
20,3,13495,0,0,6,1956,1956,11,52.61934156378601,1046.1179698216736,155660.0
20,3,9350,4,0,6,1961,1995,11,52.61934156378601,1046.1179698216736,144990.0
20,3,10500,4,0,5,1964,1964,6,52.61934156378601,1046.1179698216736,131200.0
60,3,8970,0,0,6,1965,1965,7,52.61934156378601,1046.1179698216736,166680.0
80,3,11475,0,0,6,1961,1961,6,52.61934156378601,1046.1179698216736,164780.0
20,3,9768,4,0,5,1955,1955,11,52.61934156378601,1046.1179698216736,125200.0
20,3,9900,4,0,5,1967,1967,2,52.61934156378601,1046.1179698216736,141780.0
20,3,10573,0,0,6,1961,1961,7,52.61934156378601,1046.1179698216736,140200.0
20,3,14695,4,0,8,1966,2008,7,52.61934156378601,1046.1179698216736,138000.0
20,3,8760,4,0,7,1956,1956,11,52.61934156378601,1046.1179698216736,138000.0
20,3,12285,4,0,6,1960,1960,8,52.61934156378601,1046.1179698216736,138700.0
20,3,9240,4,0,8,1959,1998,7,52.61934156378601,1046.1179698216736,153200.0
20,3,8750,4,0,5,1956,1956,3,52.61934156378601,1046.1179698216736,128100.0
20,3,8750,4,0,5,1955,1955,0,52.61934156378601,1046.1179698216736,128100.0
20,3,10400,0,0,5,1956,1956,8,52.61934156378601,1046.1179698216736,127200.0
90,3,9482,4,2,4,1958,1958,11,52.61934156378601,1046.1179698216736,138500.0
20,3,8128,1,0,7,1954,1954,7,52.61934156378601,1046.1179698216736,134900.0
20,3,13070,0,0,5,1951,1951,7,52.61934156378601,1046.1179698216736,143737.4
30,3,8480,0,0,6,1945,1950,7,52.61934156378601,1046.1179698216736,130040.0
20,3,7626,4,0,8,1952,2005,11,52.61934156378601,1046.1179698216736,133750.0
20,3,9533,4,0,5,1953,1953,11,52.61934156378601,1046.1179698216736,124500.0
60,3,11419,0,0,7,1948,1999,12,52.61934156378601,1046.1179698216736,180480.0
20,3,9600,4,0,6,1950,1950,11,52.61934156378601,1046.1179698216736,127400.0
